PLANT or CUSTOMER,AGGREGATE SOURCE,# PICKED UP,# MISSED,AGG MATERIAL,QTY,AGG CARRIER,MG,SPECIAL NOTES
ANDERSON ROAD MC LOC311,JAHNA GREENBAY,,,COMMERCIAL SAND,15.0,,,
ANDERSON ROAD MC LOC311,VULCAN ALANZA (Tampa),,,#57 DOT,9.0,,,
ANDERSON ROAD MC LOC311,VULCAN ALANZA (Tampa),,,#89 DOT,8.0,,,
ELLENTON RMC MC LOC299,JAHNA HAINES CITY,,,CONCRETE SAND,8.0,,,
ELLENTON RMC MC LOC299,VULCAN ALANZA (Tampa),,,#89 DOT,2.0,,,
ELLENTON RMC MC LOC299,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,8.0,,,
ELLENTON RMC MC LOC299,VULCAN FT MYERS,,,#57,15.0,,,
INDUSTRIAL LANE MC LOC308,JAHNA INDEPENDENT,,,CONCRETE SAND,10.0,,Y,
INDUSTRIAL LANE MC LOC308,VULCAN ALANZA (Tampa),,,#89 DOT,6.0,,Y,
PORT OF TAMPA MC LOC751,VULCAN ALANZA,,,#57 DOT,6.0,,Y,
PORT OF TAMPA MC LOC751,JAHNA GREENBAY,,,DOT SILICA SAND,5.0,,Y,
PLANT CITY RMC MC LOC302,PENNSUCO TERMINAL,,,#89 DOT,10.0,,Y,
PLANT CITY RMC MC LOC302,JAHNA GREENBAY,,,DOT SAND,15.0,,Y,
PLANT CITY RMC MC LOC302,VULCAN AUBURNDALE,,,DOT 57,20.0,,Y,
RUSKIN RMC MC LOC303,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,8.0,,Y,DELIVERY TIME: 5:00 AM -3:00 PM
RUSKIN RMC MC LOC303,JAHNA HAINES CITY,,,COMMERCIAL SAND,8.0,,Y,
RUSKIN RMC MC LOC303,VUCLAN ALANZA,,,#89 DOT,2.0,,Y,
RUSKIN RMC MC LOC303,VULCAN ALANZA,,,#57 DOT,10.0,,Y,
TAMPA BLOCK MC LOC263,CentralÂ State AGG,,,COMMERCIAL SCREENINGS,8.0,Daniel Mullings,Y,DAILY
TAMPA BLOCK MC LOC263,Center State,,,Mason Sand,2.0,Daniel Mullings,Y,8 SCREENINGS
ZEPHYRHILLS RMC MC LOC313,JAHNA GREENBAY,,,DOT SAND,4.0,,Y,
ZEPHYRHILLS RMC MC LOC313,VULCAN AUBURNDALE,,,#57 DOT,4.0,,Y,
MAINLINE RMC MC LOC307,CORKSCREW,,,#89,2.0,,Y,
MAINLINE RMC MC LOC307,VULCAN FT MYERS,,,#57,7.0,,Y,
MAINLINE RMC MC LOC307,STEWART MINING,,,COMMERCIAL SAND,8.0,,Y,
NAPLES RMC MC LOC312,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,10.0,,,
PUNTA GORDA RMC MC LOC301,PENNSUCO TERMINAL,,,#89,3.0,RA TRUCKING,,
PUNTA GORDA RMC MC LOC301,VULCAN FT MYERS,,,#57,8.0,,,
PUNTA GORDA RMC MC LOC301,JAHNA ORTONA,,,COMMERCIAL SAND,10.0,,,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,COMMERCIAL SCREENINGS,18.0,,,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,#57,14.0,,,
VENICE RMC MC LOC305,VULCAN FT MYERS,,,#89,3.0,,,
